_id,title,link,summary,published,credit,author,updated,_source.name,_source.domain,_source.rss,_source.url,_fetched,_timestamp
ObjectId(5f839cbdd1e8e3d56c30a1b0),Netanyahu excludes justice minister from talks on lifting lockdown,https://www.haaretz.com/israel-news/.premium-netanyahu-excludes-justice-minister-from-talks-on-lifting-lockdown-1.9227273,"According to Kahol Lavan, Avi Nissenkorn was disinvited based on his opposition to limiting public protest ■ Vote on extending coronavirus restrictions postponed ■ Arab infection rate sees decline","Mon, 12 Oct 2020 02:35:41 +0300",,"Noa Landau, Jonathan Lis וJack Khoury",,Haaretz,ilnews_en,https://www.haaretz.com/cmlink/1.4605045,https://www.haaretz.com/,2020-10-15T09:01:41.564Z,2020-10-11T23:35:41.000Z
ObjectId(5f839cbdd1e8e3d56c30a1b2),Finance Ministry director general is second Israeli treasury official to quit in six weeks,https://www.haaretz.com/israel-news/.premium-finance-ministry-director-general-is-second-treasury-official-to-quit-in-six-weeks-1.9227267,"Keren Terner-Eyal, who served as director general of the Finance Ministry for less than six months, fell out with minister over Shaul Meridor, who quit as budget chief","Mon, 12 Oct 2020 02:17:08 +0300",,Avi Waksman  וJonathan Lis,,Haaretz,ilnews_en,https://www.haaretz.com/cmlink/1.4605045,https://www.haaretz.com/,2020-10-15T09:01:41.594Z,2020-10-11T23:17:08.000Z
ObjectId(5f83aac7d1e8e3d56c30b46e),Fauci says his remarks were taken out of context in Trump ad,https://www.jpost.com/american-politics/fauci-says-his-remarks-were-taken-out-of-context-in-trump-ad-645384,"<img align=""right"" src=""https://images.jpost.com/image/upload/f_auto,fl_lossy/t_Article2016_ControlFaceDetect/456606"" /><br />The 30-second spot uses older remarks from Fauci in a way that suggests he was praising the president.<br />","Mon, 12 Oct 2020 10:27:40 GMT",,By REUTERS,,Jerusalem Post,ilnews_en,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,https://www.jpost.com/,2020-10-12T15:01:24.394Z,2020-10-12T10:27:40.000Z
ObjectId(5f83aac7d1e8e3d56c30b477),WhatsApp hacking: the new method hackers are using,https://www.jpost.com/jpost-tech/whatsapp-the-new-hacking-method-645382,"<img align=""right"" src=""https://images.jpost.com/image/upload/f_auto,fl_lossy/t_Article2016_ControlFaceDetect/450490"" /><br />The only information needed to connect to someone's WhatsApp account is a valid phone number and a verification code.<br />","Mon, 12 Oct 2020 14:41:04 GMT",,By SARAH CHEMLA,,Jerusalem Post,ilnews_en,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,https://www.jpost.com/,2020-10-16T05:01:35.875Z,2020-10-12T14:41:04.000Z
ObjectId(5f83aac8d1e8e3d56c30b47c),"Israel’s reputation as ‘Startup Nation’ is fraying, survey finds",https://www.haaretz.com/israel-news/business/.premium-israel-s-reputation-as-startup-nation-is-fraying-survey-finds-1.9227276,"While Israeli technology prowess is as strong as ever, other countries are surpassing Israel as a high-tech brand","Mon, 12 Oct 2020 03:41:49 +0300",,Refaella Goichman,,Haaretz,ilnews_en,https://www.haaretz.com/cmlink/1.4605045,https://www.haaretz.com/,2020-10-15T10:01:51.264Z,2020-10-12T00:41:49.000Z
ObjectId(5f83b8d8d1e8e3d56c30c71f),Coronavirus can survive up to 28 days on currency and glass - study,https://www.jpost.com/health-science/coronavirus-can-survive-up-to-28-days-on-currency-and-glass-study-645387,"<img align=""right"" src=""https://images.jpost.com/image/upload/f_auto,fl_lossy/t_Article2016_Control/278533"" /><br />By comparison, Influenza A virus has been found to survive on surfaces for 17 days.<br />","Mon, 12 Oct 2020 01:48:13 GMT",,By REUTERS,,Jerusalem Post,ilnews_en,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,https://www.jpost.com/,2020-10-12T16:01:26.339Z,2020-10-12T01:48:13.000Z
ObjectId(5f83b8d8d1e8e3d56c30c729),Gal Gadot to star as Egyptian queen Cleopatra in historical biopic,https://www.jpost.com/israel-news/culture/gal-gadot-to-star-as-egyptian-queen-cleopatra-in-historical-biopic-645386,"<img align=""right"" src=""https://images.jpost.com/image/upload/f_auto,fl_lossy/t_Article2016_ControlFaceDetect/452899"" /><br />The Israeli star will work on the film alongside “Wonder Woman” director Patty Jenkins.<br />","Mon, 12 Oct 2020 01:25:18 GMT",,By MARCY OSTER/JTA,,Jerusalem Post,ilnews_en,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,https://www.jpost.com/,2020-10-12T18:01:28.260Z,2020-10-12T01:25:18.000Z
ObjectId(5f83b8dad1e8e3d56c30c754),Top treasury official's exit leaves Israel's economic policy in the worst possible hands,https://www.haaretz.com/israel-news/.premium-top-treasury-official-s-exit-leaves-economic-policy-in-the-worst-possible-hands-1.9227279,"The latest of three top treasury officials to quit, she leaves politicians now running the show","Mon, 12 Oct 2020 08:57:01 +0300",,Sami Peretz,,Haaretz,ilnews_en,https://www.haaretz.com/cmlink/1.4605045,https://www.haaretz.com/,2020-10-15T12:01:48.157Z,2020-10-12T05:57:01.000Z
ObjectId(5f83c6eed1e8e3d56c30d9e3),Italian comic Dago meets famous female Jewish Renaissance figure,https://www.jpost.com/international/wandering-jewess-meets-famous-female-renaissance-figure-in-italian-comic-645388,"<img align=""right"" src=""https://images.jpost.com/image/upload/f_auto,fl_lossy/t_Article2016_ControlFaceDetect/464843"" /><br />Created in 1980 by Robin Wood, Dago has been one of the pillars of the weekly Lanciostory since 1983 and one of the best-known comic characters in Italy.<br />","Mon, 12 Oct 2020 02:27:09 GMT",,By SARAH CHEMLA,,Jerusalem Post,ilnews_en,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,https://www.jpost.com/,2020-10-12T18:01:29.179Z,2020-10-12T02:27:09.000Z
ObjectId(5f83c6eed1e8e3d56c30d9f2),Israel slams German art college for ‘embracing antisemitism’,https://www.jpost.com/diaspora/antisemitism/israel-slams-german-art-college-for-embracing-antisemitism-645389,"<img align=""right"" src=""https://images.jpost.com/image/upload/f_auto,fl_lossy/t_Article2016_ControlFaceDetect/421339"" /><br />‘School for Unlearning Zionism’ is the name of a Weissensee Academy of Art Berlin program.<br />","Mon, 12 Oct 2020 12:58:35 GMT",,By BENJAMIN WEINTHAL,,Jerusalem Post,ilnews_en,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,https://www.jpost.com/,2020-10-13T02:01:12.779Z,2020-10-12T12:58:35.000Z
ObjectId(5f83d502d1e8e3d56c30ecd9),Israel's parliament returns for a likely brief winter session amid ongoing coalition crisis,https://www.haaretz.com/israel-news/.premium-mks-return-for-a-likely-brief-knesset-winter-session-1.9227266,"Knesset members are returning to a weak, faltering parliament that may well dissolve itself in late December as coalition parties' mutual distrust keeps legislation from passing","Mon, 12 Oct 2020 08:37:22 +0300",,Jonathan Lis,,Haaretz,ilnews_en,https://www.haaretz.com/cmlink/1.4605045,https://www.haaretz.com/,2020-10-15T12:01:48.217Z,2020-10-12T05:37:22.000Z
ObjectId(5f83d502d1e8e3d56c30ecdb),"Israel needs a 'traffic light' reopening, but ultra-Orthodox likely to block it",https://www.haaretz.com/israel-news/.premium-israel-needs-a-traffic-light-reopening-but-ultra-orthodox-likely-to-block-it-1.9227037,"Coronavirus numbers are improving across Israel, but less so in Haredi communities – and rabbis are insisting on reopening schools right away","Mon, 12 Oct 2020 08:32:38 +0300",,Amos Harel,,Haaretz,ilnews_en,https://www.haaretz.com/cmlink/1.4605045,https://www.haaretz.com/,2020-10-15T12:01:48.247Z,2020-10-12T05:32:38.000Z
ObjectId(5f83f118d1e8e3d56c31124b),Israel welcomes ceasefire between Armenia and Azerbaijan - Ushpiz,https://www.jpost.com/israel-news/israel-welcomes-ceasefire-between-armenians-azerbaijanis-ushpiz-645394,"<img align=""right"" src=""https://images.jpost.com/image/upload/f_auto,fl_lossy/t_Article2016_ControlFaceDetect/460854"" /><br />Both sides accused one another of breaking the ceasefire almost immediately, and Azerbaijan gave the impression in public comments from top officials that it saw it as only a brief breathing space anyway.<br />","Mon, 12 Oct 2020 05:32:54 GMT",,By JERUSALEM POST STAFF,,Jerusalem Post,ilnews_en,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,https://www.jpost.com/,2020-10-12T14:01:18.854Z,2020-10-12T05:32:54.000Z
ObjectId(5f83f118d1e8e3d56c31124e),Sovereignty Movement calls for clarity ahead of UAE peace deal vote,https://www.jpost.com/israel-news/sovereignty-movement-calls-for-clarity-ahead-of-uae-peace-deal-vote-645390,"<img align=""right"" src=""https://images.jpost.com/image/upload/f_auto,fl_lossy/t_Article2016_ControlFaceDetect/463579"" /><br />The movement notes the long-term security ramifications of rights granted to the UAE to the Temple Mount, and a suspension or cancellation of plans for Israel to apply sovereignty in the West Bank.<br />","Mon, 12 Oct 2020 10:57:59 GMT",,By JERUSALEM POST STAFF,,Jerusalem Post,ilnews_en,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,https://www.jpost.com/,2020-10-12T18:01:28.427Z,2020-10-12T10:57:59.000Z
ObjectId(5f83f118d1e8e3d56c311250),Likud and Blue and White: The end of an unhappy marriage?,https://www.jpost.com/opinion/the-end-of-an-unhappy-marriage-645370,"<img align=""right"" src=""https://images.jpost.com/image/upload/f_auto,fl_lossy/t_Article2016_ControlFaceDetect/464004"" /><br />The only motive Netanyahu seems to have to refuse to bring a budget for 2021 is the fact that he wants to leave the option of new elections being held within the next few months.<br />","Mon, 12 Oct 2020 05:12:11 GMT",,By SUSAN HATTIS ROLEF,,Jerusalem Post,ilnews_en,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,https://www.jpost.com/,2020-10-12T08:01:07.232Z,2020-10-12T05:12:11.000Z
ObjectId(5f83f119d1e8e3d56c31126c),"Heshy Tischler, NY anti-lockdown activist, arrested for inciting riot",https://www.jpost.com/diaspora/heshy-tischler-anti-lockdown-activist-arrested-for-inciting-riot-645393,"<img align=""right"" src=""https://images.jpost.com/image/upload/f_auto,fl_lossy/t_Article2016_ControlFaceDetect/464712"" /><br />In videos of the arrest, Tischler can be seen yelling to bystanders ""Do you see what they're doing?""<br />","Mon, 12 Oct 2020 07:04:50 GMT",,"By TZVI JOFFRE,PHILISSA CRAMER/JTA",,Jerusalem Post,ilnews_en,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,https://www.jpost.com/,2020-10-12T16:01:26.510Z,2020-10-12T07:04:50.000Z
ObjectId(5f83f119d1e8e3d56c31126e),Security guard held on suspicion of murder in shooting at Denver political rallies,https://www.jpost.com/us-elections/security-guard-held-on-suspicion-of-murder-in-shooting-at-denver-political-rallies-645391,"<img align=""right"" src=""https://images.jpost.com/image/upload/f_auto,fl_lossy/t_Article2016_ControlFaceDetect/459557"" /><br />The deadly gunfire erupted on Saturday following a ""verbal altercation"" between the suspect and victim just as a ""Patriot Rally"" and a counter-demonstration were ending.<br />","Mon, 12 Oct 2020 03:55:48 GMT",,By REUTERS,,Jerusalem Post,ilnews_en,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,https://www.jpost.com/,2020-10-12T14:01:18.791Z,2020-10-12T03:55:48.000Z
ObjectId(5f83f11bd1e8e3d56c311291),"Ninety percent of Arabic social media chatter about Israel-Gulf deals negative, report finds",https://www.haaretz.com/israel-news/.premium-report-90-percent-of-arabic-social-media-chatter-about-israel-gulf-deals-negative-1.9226902,"Popular hashtags against agreements with UAE and Bahrain reached over 100 million people in less than a month, according to Israel's Strategic Affairs Ministry","Mon, 12 Oct 2020 08:42:03 +0300",,Noa Landau,,Haaretz,ilnews_en,https://www.haaretz.com/cmlink/1.4605045,https://www.haaretz.com/,2020-10-15T12:01:48.187Z,2020-10-12T05:42:03.000Z
ObjectId(5f83ff2bd1e8e3d56c312599),"‘Renegade’ haredi communities need to be brought to heel, rabbi says",https://www.jpost.com/israel-news/renegade-haredi-communities-need-to-be-brought-to-heel-rabbi-says-645395,"<img align=""right"" src=""https://images.jpost.com/image/upload/f_auto,fl_lossy/t_Article2016_ControlFaceDetect/460613"" /><br />Rabbi Regev’s statement comes after Rabbi Yissachar Dov Rokeach, leader of the Belz Hasidic sect, recently called on his followers to keep up their religious routine unchanged, despite the pandemic.<br />","Mon, 12 Oct 2020 05:57:49 GMT",,By MAYA MARGIT/THE MEDIA LINE,,Jerusalem Post,ilnews_en,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,https://www.jpost.com/,2020-10-13T02:01:13.030Z,2020-10-12T05:57:49.000Z
ObjectId(5f83ff2bd1e8e3d56c31259c),"Who are the ultra-Orthodox community fooling, who are they killing?",https://www.jpost.com/opinion/who-are-they-fooling-who-are-they-killing-645369,"<img align=""right"" src=""https://images.jpost.com/image/upload/f_auto,fl_lossy/t_Article2016_ControlFaceDetect/464181"" /><br />By Passover we knew for sure. We were mourning the deaths of our dear family and friends. We were recovering from the virus ourselves.<br />","Mon, 12 Oct 2020 13:35:57 GMT",,By MICHA HALPERN,,Jerusalem Post,ilnews_en,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,https://www.jpost.com/,2020-10-12T15:01:23.263Z,2020-10-12T13:35:57.000Z
ObjectId(5f83ff2bd1e8e3d56c3125a3),"Iran, North Korea had an abysmal 2020 - analysis",https://www.jpost.com/middle-east/iran-news/iran-north-korea-had-an-abysmal-2020-analysis-645396,"<img align=""right"" src=""https://images.jpost.com/image/upload/f_auto,fl_lossy/t_Article2016_ControlFaceDetect/464845"" /><br />Pyongyang and Tehran have both lost ground in their respective standoffs with the US – and Israeli security is marginally better for the time being because of this.<br />","Mon, 12 Oct 2020 07:45:49 GMT",,By YONAH JEREMY BOB,,Jerusalem Post,ilnews_en,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,https://www.jpost.com/,2020-10-13T09:01:20.015Z,2020-10-12T07:45:49.000Z
