_id,title,link,summary,published,credit,author,updated,_source.name,_source.domain,_source.rss,_source.url,_fetched,_timestamp
ObjectId(5f7b97159e3182ef83b77783),נשיא הקהילה היהודית בגראץ שבאוסטריה הותקף,,"קנצלר אוסטריה: ""נעשה כל שביכולתנו כדי למצוא את האשם""",2020-08-23T06:42:42Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.718Z,2020-08-23T06:42:42.000Z
ObjectId(5f7b97159e3182ef83b77785),התחזית: עומס החום הכבד יימשך עד שבת,,מחר ירידה של מעלה אחת בטמפרטורות • בראשון ירידה של ממש,2020-09-09T23:02:06Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.801Z,2020-09-09T23:02:06.000Z
ObjectId(5f7b97159e3182ef83b77787),"טיל ששוגר על ידי צה""ל לעזה – נפל ביישוב בעוטף",,"הטיל לא התפוצץ, וחבלנים הגיעו היום כדי לנטרלו",2020-08-12T09:05:17Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.591Z,2020-08-12T09:05:17.000Z
ObjectId(5f7b97159e3182ef83b77789),"החשד להתעללות בחולון: ""חשבתי שאנחנו משפחה""",,"מעצר הבית של שש הסייעות הוארך בשמונה ימים; ההורים התעמתו עימן בביהמ""ש",2020-09-03T14:56:09Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.608Z,2020-09-03T14:56:09.000Z
ObjectId(5f7b97159e3182ef83b7778b),הרב נתנאל שריקי שנחשד בעבירות מין שוחרר ממעצר,,על הרב שריקי נאסר להיפגש עם נשים לבדו או ליצור קשר עם המעורבים בפרשה,2020-09-03T12:28:45Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.611Z,2020-09-03T12:28:45.000Z
ObjectId(5f7b97159e3182ef83b7778d),"בתגובה לטרור הבלונים - צה""ל תקף בעזה",,"בין היעדים שהותקפו: מתחם צבאי של חמאס, תשתיות תת-קרקעיות ועמדות תצפית",2020-08-12T01:55:02Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.603Z,2020-08-12T01:55:02.000Z
ObjectId(5f7b97159e3182ef83b7778f),גלנט למנהיגים חרדים: ערים אדומות זה פיקציה,,"בהקלטות מביקורו בחמ""ל בני ברק נשמע השר תוקף את גמזו: מתנגד לסגירת ערים",2020-09-02T20:25:43Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.648Z,2020-09-02T20:25:43.000Z
ObjectId(5f7b97159e3182ef83b77791),מחקר: בממלכת יהודה ידעו קרוא וכתוב,,בבחינת שברי חרס כתובים זוהו 12 כתבי יד שונים בדרגות ודאות שונות,2020-09-09T22:32:47Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.812Z,2020-09-09T22:32:47.000Z
ObjectId(5f7b97159e3182ef83b77793),מספר המתים מקורונה בעולם חצה את ה־800 אלף,,"יותר ממחצית המתים בעולם אזרחי ארבע מדינות: ארה""ב, ברזיל, מקסיקו והודו",2020-08-22T17:36:26Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.725Z,2020-08-22T17:36:26.000Z
ObjectId(5f7b97159e3182ef83b77795),ראש הסוכנות לאנרגיה אטומית יבקר באיראן השבוע,,זהו ביקורו הראשון של רפאל גרוסי מאז שנכנס לתפקידו בסוף השנה שעברה,2020-08-22T15:47:22Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.737Z,2020-08-22T15:47:22.000Z
ObjectId(5f7b97159e3182ef83b77797),נפטרה הכלה שהתמוטטה בחתונתה בשבוע שעבר,,"הכלה, שירלי אלמסי אריאלי בת 34, התמוטטה לאחר שסבלה מאירוע לבבי",2020-09-09T21:00:25Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.814Z,2020-09-09T21:00:25.000Z
ObjectId(5f7b97159e3182ef83b77799),שלח נגד לפיד: יש עתיד לא רשומה על שמו בטאבו,,בריאיון בחדשות הערב בכאן 11 אמר שלח כי המפלגה צריכה להשתנות,2020-09-02T20:51:21Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.655Z,2020-09-02T20:51:21.000Z
ObjectId(5f7b97159e3182ef83b7779b),"בישראל פועלים להגדיל את סמכויות יוניפי""ל",,"הקפטן שהוביל את ספינת האמוניה לכאן חדשות: ""השלטונות ידעו על הסכנה""",2020-08-11T22:41:20Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.616Z,2020-08-11T22:41:20.000Z
ObjectId(5f7b97159e3182ef83b7779d),"בן 20 מת""א נעצר בחשד שאנס קטינה במקום עבודתו",,"בת 17 הגיעה למרכולית בדרום העיר כלקוחה, ועל פי החשד נאנסה בחדר פנימי",2020-09-03T11:44:37Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.629Z,2020-09-03T11:44:37.000Z
ObjectId(5f7b97159e3182ef83b7779f),תוקפים ונמלטים: שישה יואשמו ברצח יאשיהו בלום,,"בלום בן ה-23 נדקר סמוך לחוף הים בראשל""צ בזמן עימות עם קבוצת צעירים",2020-09-03T10:29:51Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.632Z,2020-09-03T10:29:51.000Z
